# eta[dimensionless] P[GPa]
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.264220844817528722e+00 9.021417439691996378e+02
4.234964542025752898e+00 1.168785083432757347e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549736624e+00 1.345829284916478130e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.260165297941938434e+00 1.658099269067303396e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.260165297941938434e+00 1.658099269067303396e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.264220844817528722e+00 9.021417439691996378e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.264220844817528722e+00 9.021417439691996378e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707860933e+00 3.433668435274395137e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053330631e+00 1.465490400397537769e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909494104e+00 3.719859680675767777e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786001383e+00 3.390231472492552189e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.302718471577566817e+00 4.451884237442238046e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.302718471577566817e+00 4.451884237442238046e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.302718471577566817e+00 4.451884237442238046e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.359709887593259392e+00 5.543791934307933822e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.302718471577566817e+00 4.451884237442238046e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.359709887593259392e+00 5.543791934307933822e+00
2.471271315952939585e+00 6.496743263978569161e+00
2.592827761595009495e+00 7.617606058424052584e+00
2.882899182567664198e+00 1.053553522019450206e+01
2.974586876316640982e+00 1.214195867781346116e+01
3.817558879307929143e+00 2.265744774061216305e+01
4.317369980707906230e+00 3.433668435274465480e+01
4.405563125064198005e+00 4.129401802972055435e+01
4.430901915966698468e+00 4.971865576134848652e+01
4.427711258124876537e+00 5.470193434179417835e+01
4.405748039670411842e+00 6.670621963339159777e+01
4.390374482460298822e+00 7.397269698630404378e+01
4.355755279679133452e+00 9.179379853904852382e+01
4.318438507852078168e+00 1.153158926798336665e+02
4.279540312053305762e+00 1.465490400397525548e+02
4.213423974955297524e+00 2.422717721904178916e+02
4.208578099940368134e+00 3.548468799434099878e+02
4.212848324304008685e+00 4.028602223795633677e+02
4.205327360305261664e+00 4.576396394178143510e+02
4.316050636694282794e+00 6.070484084133297529e+02
4.234964542025752898e+00 1.168785083432757347e+03
4.172572759563608180e+00 2.185927644566204435e+03
1.348813925623345789e+00 4.038423326267707725e-01
1.359650187017756418e+00 4.378180138205833849e-01
1.546519524583732652e+00 5.196844464940481023e-01
1.616465415854230647e+00 6.439126332802345143e-01
1.672115777824942695e+00 7.684096211208774063e-01
1.705287252400597753e+00 8.649328392645027064e-01
1.739612426858479832e+00 9.703780594299575846e-01
1.774927995175770601e+00 1.084197342586192825e+00
1.811450225928181723e+00 1.208762856120114471e+00
1.849438671549714419e+00 1.345829284916434165e+00
1.888927269043141344e+00 1.497630220927519851e+00
2.005693555536284922e+00 2.182233378865321427e+00
1.993044163599670959e+00 2.040133827427158764e+00
2.032401295412237019e+00 2.248465888711542959e+00
2.076033882451856716e+00 2.507653124256972177e+00
2.118506561531538157e+00 2.784940944408036412e+00
2.159190365059195926e+00 3.078628177336550031e+00
2.197900077786004935e+00 3.390231472492565956e+00
2.234367119909526966e+00 3.719859680675919655e+00
2.268985895603144787e+00 4.071303853691032870e+00
2.302718471577566817e+00 4.451884237442238046e+00
2.253290242423167999e+00 4.720721242649308813e+00
2.359709887593259392e+00 5.543791934307933822e+00
